Model,Validation MAE,Validation RMSE,Validation R2,Validation MAPE_pct,Test MAE,Test RMSE,Test R2,Test MAPE_pct
XGBoost,0.5757131211820826,1.721376485739027,0.9822094748664942,17.43941759218306,0.5513854258001599,1.5640962735614623,0.9873733525631329,15.972768162439262
Random Forest,0.5766713361120621,1.8723504411661718,0.9789519769809931,10.883078888114794,0.5786903002184048,1.7387361108421227,0.9843962695560651,10.673938083772635
Gradient Boosting,0.6826968086101718,2.228442282341226,0.9701846566079743,21.007538604590717,0.7256043146484692,2.206377242865065,0.9748741576551281,23.398385212423822
Ridge,2.300364054889249,4.508835756475734,0.8779421076686776,224.67387938226358,2.6111646284043566,4.95049990118523,0.8735091229343895,287.20897335361343
